lon,lat,time,elevation,som,moisture,temp,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12
142.12938,-36.74524844,1/04/2022,132.2,2.8,23.38,23.42,1152,1470,1986,2152,2218,2373,2618,2624,4162,2920
142.1294024,-36.74523994,1/04/2022,132.2,2.825,23.35,23.17,1152,1470,1986,2152,2218,2373,2618,2624,4162,2920
142.1294247,-36.74523134,1/04/2022,132.2,2.82,24.3,23.17,1152,1470,1986,2152,2218,2373,2618,2624,4162,2920
142.129447,-36.74522284,1/04/2022,132.1,2.825,24.1,23.33,1152,1470,1986,2152,2218,2373,2618,2624,4162,2920
142.1294704,-36.74521614,1/04/2022,132.1,2.795,24.82,23.08,1072,1386,1904,2152,2218,2373,2512,2624,4162,2920
142.1294927,-36.74520764,1/04/2022,132.0,2.83,26.15,23.42,1072,1386,1904,2152,2218,2373,2512,2624,4162,2920
142.129514,-36.74519734,1/04/2022,132.0,2.815,28.73,23.5,1072,1386,1904,2152,2218,2373,2512,2624,4162,2920
142.1295364,-36.74518884,1/04/2022,132.0,2.78,30.6,23.78,1072,1386,1904,2152,2218,2373,2512,2624,4162,2920
142.1295587,-36.74518044,1/04/2022,131.9,2.79,27.9,24.11,1126,1418,1920,2130,2233,2364,2512,2600,4168,2930
142.129581,-36.74517204,1/04/2022,131.9,2.655,28.55,23.94,1114,1384,1884,2065,2152,2309,2522,2563,4096,2897
142.1296044,-36.74516534,1/04/2022,131.9,2.665,28.0,23.61,1114,1384,1884,2065,2152,2309,2522,2563,4096,2897
142.1296256,-36.74515494,1/04/2022,131.9,2.81,28.95,23.89,1114,1384,1884,2065,2152,2309,2522,2563,4096,2897
142.1296479,-36.74514654,1/04/2022,131.9,2.82,28.88,23.72,1114,1384,1884,2065,2152,2309,2522,2563,4096,2897
142.1296703,-36.74513804,1/04/2022,131.8,2.86,29.88,23.61,1114,1384,1884,2065,2152,2309,2522,2563,4096,2897
142.1296926,-36.74512954,1/04/2022,131.8,2.97,31.68,23.53,1062,1344,1780,2065,2152,2309,2376,2563,4096,2897
142.129716,-36.74512294,1/04/2022,131.7,3.15,31.35,23.79,1062,1344,1780,2065,2152,2309,2376,2563,4096,2897
142.1297383,-36.74511424,1/04/2022,131.7,3.145,33.2,23.67,1062,1344,1780,2065,2152,2309,2376,2563,4096,2897
142.1297606,-36.74510564,1/04/2022,131.7,3.175,34.52,23.53,1062,1344,1780,2065,2152,2309,2376,2563,4096,2897
142.1297829,-36.74509724,1/04/2022,131.6,3.19,35.17,24.21,1042,1288,1726,2039,2061,2233,2344,2478,4089,2870
142.1298041,-36.74508684,1/04/2022,131.6,3.065,35.9,24.08,1072,1364,1822,2039,2061,2233,2430,2478,4089,2870
142.1298266,-36.74507834,1/04/2022,131.5,2.99,34.05,23.97,1072,1364,1822,2039,2061,2233,2430,2478,4089,2870
142.1298489,-36.74506994,1/04/2022,131.5,2.96,34.9,24.53,1072,1364,1822,2039,2061,2233,2430,2478,4089,2870
142.1298724,-36.74506334,1/04/2022,131.4,2.92,35.75,24.57,1072,1364,1822,2039,2061,2233,2430,2478,4089,2870
142.1298937,-36.74505294,1/04/2022,131.4,2.9,34.42,24.78,1052,1322,1824,2039,2061,2233,2438,2478,4089,2870
142.1299171,-36.74504624,1/04/2022,131.4,2.925,33.77,24.85,1052,1322,1824,2039,2061,2233,2438,2478,4089,2870
142.1299393,-36.74503774,1/04/2022,131.3,2.935,34.05,24.69,1052,1322,1824,2039,2061,2233,2438,2478,4089,2870
142.1299606,-36.74502744,1/04/2022,131.3,2.995,34.05,24.65,1052,1322,1824,2039,2061,2233,2438,2478,4089,2870
142.1299829,-36.74501894,1/04/2022,131.3,3.03,34.88,24.56,1052,1322,1824,2039,2061,2233,2438,2478,4089,2870
142.1300053,-36.74501044,1/04/2022,131.2,3.04,33.25,24.72,1016,1316,1754,1977,2037,2175,2364,2467,4065,2867
142.1300276,-36.74500204,1/04/2022,131.2,3.065,32.88,24.75,1016,1316,1754,1977,2037,2175,2364,2467,4065,2867
142.13005,-36.74499354,1/04/2022,131.1,3.065,34.2,24.96,1098,1384,1858,2055,2110,2265,2432,2498,4082,2922
142.1300734,-36.74498694,1/04/2022,131.1,3.03,33.5,24.86,1098,1384,1858,2055,2110,2265,2432,2498,4082,2922
