lat,lon,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12
5934015.0,601375.0,835,1054,1470,1701,1797,1911,2088,2163,4071,2812
5934005.0,600195.0,882,1126,1460,1782,1986,2104,2206,2296,3588,2449
5934005.0,600205.0,911,1144,1476,1705,1959,2101,2208,2291,3600,2455
5934005.0,600215.0,936,1180,1530,1705,1959,2101,2242,2291,3600,2455
5934005.0,600225.0,950,1198,1522,1687,1951,2077,2248,2352,3599,2409
5934005.0,600235.0,958,1150,1476,1687,1951,2077,2248,2352,3599,2409
5934005.0,600245.0,946,1144,1464,1693,1944,2062,2190,2334,3566,2398
5934005.0,600255.0,924,1170,1498,1693,1944,2062,2210,2334,3566,2398
5934005.0,600265.0,948,1200,1516,1748,1951,2086,2248,2285,3573,2421
5934005.0,600275.0,969,1208,1520,1748,1951,2086,2250,2285,3573,2421
5934005.0,600285.0,914,1190,1506,1678,1933,2090,2182,2295,3603,2418
5934005.0,600295.0,898,1166,1458,1678,1933,2090,2194,2295,3603,2418
5934005.0,600305.0,941,1152,1442,1676,1931,2091,2240,2346,3613,2417
5934005.0,600315.0,936,1196,1498,1676,1931,2091,2246,2346,3613,2417
5934005.0,600325.0,924,1200,1500,1704,1962,2075,2226,2336,3602,2432
5934005.0,600335.0,917,1190,1490,1704,1962,2075,2208,2336,3602,2432
5934005.0,600345.0,907,1146,1468,1731,1956,2073,2220,2261,3594,2451
5934005.0,600355.0,906,1204,1476,1731,1956,2073,2252,2261,3594,2451
5934005.0,600365.0,908,1172,1480,1730,1925,2086,2236,2271,3613,2482
5934005.0,600375.0,939,1208,1484,1730,1925,2086,2236,2271,3613,2482
5934005.0,600385.0,889,1174,1536,1699,1928,2044,2200,2287,3624,2483
5934005.0,600395.0,899,1162,1472,1699,1928,2044,2214,2287,3624,2483
5934005.0,600405.0,891,1128,1460,1715,1917,2040,2148,2300,3612,2445
5934005.0,600415.0,904,1136,1490,1715,1917,2040,2174,2300,3612,2445
5934005.0,600425.0,932,1172,1494,1748,1939,2087,2198,2283,3588,2485
5934005.0,600435.0,952,1186,1502,1748,1939,2087,2208,2283,3588,2485
5934005.0,600445.0,918,1168,1484,1760,1902,2054,2192,2241,3610,2523
5934005.0,600455.0,892,1166,1500,1760,1902,2054,2154,2241,3610,2523
5934005.0,600465.0,921,1136,1460,1709,1865,2018,2126,2262,3623,2515
5934005.0,600475.0,952,1162,1472,1709,1865,2018,2160,2262,3623,2515
5934005.0,600485.0,938,1164,1462,1703,1903,2005,2148,2278,3612,2493
5934005.0,600495.0,941,1154,1462,1703,1903,2005,2182,2278,3612,2493
5934005.0,600505.0,884,1114,1454,1732,1941,2032,2148,2248,3571,2480
5934005.0,600515.0,874,1094,1418,1732,1941,2032,2148,2248,3571,2480
5934005.0,600525.0,880,1118,1416,1695,1888,2048,2146,2243,3521,2451
5934005.0,600535.0,838,1084,1362,1695,1888,2048,2156,2243,3521,2451
5934005.0,600545.0,890,1122,1386,1631,1875,2054,2154,2255,3515,2390
5934005.0,600555.0,857,1114,1406,1631,1875,2054,2134,2255,3515,2390
5934005.0,600565.0,843,1070,1374,1617,1856,2002,2136,2262,3510,2365
5934005.0,600575.0,844,1072,1354,1617,1856,2002,2138,2262,3510,2365
5934005.0,600585.0,822,1100,1354,1669,1957,2040,2168,2297,3518,2422
5934005.0,600595.0,822,1074,1334,1669,1957,2040,2220,2297,3518,2422
5934005.0,600605.0,814,1064,1332,1657,1917,2061,2186,2260,3504,2413
5934005.0,600615.0,822,1058,1338,1657,1917,2061,2154,2260,3504,2413
5934005.0,600625.0,850,1086,1382,1634,1895,2051,2120,2287,3521,2394
5934005.0,600635.0,854,1076,1372,1634,1895,2051,2182,2287,3521,2394
5934005.0,600645.0,812,1048,1350,1605,1895,2035,2160,2312,3532,2355
5934005.0,600655.0,805,1024,1308,1605,1895,2035,2114,2312,3532,2355
5934005.0,600665.0,827,1054,1328,1669,1956,2062,2114,2335,3504,2367
5934005.0,600675.0,825,1076,1356,1669,1956,2062,2164,2335,3504,2367
5934005.0,600685.0,868,1162,1432,1687,1990,2160,2314,2370,3540,2407
5934005.0,600695.0,874,1076,1382,1687,1990,2160,2314,2370,3540,2407
5934005.0,600705.0,852,1078,1346,1647,1973,2149,2200,2351,3565,2390
5934005.0,600715.0,846,1090,1376,1647,1973,2149,2240,2351,3565,2390
